,mean_intensity,median_intensity,sd_intensity,min_intensity,max_intensity,mean_ratio,mean_difference,mean_all_ratio,mean_all_difference,mean_max_ratio,mean_max_difference,lbp_mean,lbp_std,contrast,correlation,energy,homogeneity,area,perimeter,eccentricity,major_axis_length,minor_axis_length,solidity,extent,hog_mean,hog_std,label
C3-noshock_1_sc_002_roi_8,75.28787878787878,76.5,18.453680877394127,38,111,1.653164767528903,29.746212121212118,2.658097480639644,46.96390672280556,1.4254464637272832,32.03096179183136,4.511111111111111,2.2372823019827943,0.5687561717423075,0.9091844693298851,0.9994075140185846,0.9994398865314298,66.0,29.556349186104043,0.3284340278310254,9.476499700333914,8.950809007908408,0.9041095890410958,0.7333333333333333,0.00011602634913288057,0.006121565122157335,1
C3-noshock_101_dgca1_002_roi_2,40.62637362637363,39.0,8.969604780944218,27,63,1.4060129306030946,11.731636784268364,1.6936228035781644,16.638521348675695,3.529241448147908,102.7539080637672,4.345454545454546,2.2419000206252147,0.2585934793487048,0.9146299859550879,0.9990280645328447,0.9991673645919952,91.0,32.72792206135786,0.6080825580086435,12.104540868618482,9.609477798069387,0.9891304347826086,0.8272727272727273,0.000988359679467976,0.017266321927309036,0
C3-noshock_101_dgca1_003_roi_1,61.69230769230769,64.5,25.538461538461537,16,109,3.0390299355816595,41.392307692307696,5.339770450330149,50.138944440804366,1.3513246586504037,21.674028941355672,4.694444444444445,2.179272446267728,0.30059143793987564,0.915346666938374,0.9995403338989377,0.999560247498686,78.0,32.970562748477136,0.7084526792067325,11.932246919208806,8.421282497897431,0.9285714285714286,0.7222222222222222,0.00044792782864533365,0.011380035430192947,1
C4-40669_10X_BLA__roi_29,227.98717948717947,253.0,35.78514718023909,139,255,1.4053566681753848,65.75990675990676,2.553700298318487,138.70999232574934,1.0042517401817566,0.9693422519509625,5.32,2.3059921942625916,3.542145310394779,0.8904838614262397,0.9996534370217773,0.9997768438330346,78.0,32.384776310850235,0.41067437930687634,10.48318234624905,9.558377763129167,0.9397590361445783,0.78,0.0002451918844599277,0.00852805282920599,1
C3-noshock_106_pv_002_roi_12,213.22018348623854,255.0,59.58208551005747,76,255,2.376595023067864,123.50351681957187,3.566890730651858,153.44257895971242,1.0161795964029086,3.449816513761448,5.952662721893491,2.2182957659379845,4.751911993513467,0.9187765590964512,0.9993316592437832,0.9995998249430045,109.0,39.21320343559643,0.8205820596496263,15.634902589065163,8.935795940600617,0.9478260869565217,0.6449704142011834,0.000578318489715457,0.013656258583068848,1
C3-noshock_106_mo_002_roi_0,140.5810810810811,133.5,75.3090940197431,24,255,4.169071206437755,106.8610810810811,7.50144089085012,121.84053734733591,1.0,0.0,4.646464646464646,2.2216252641718612,0.6113351571466754,0.9173560397870845,0.9998329482182975,0.9998367195212425,74.0,30.72792206135786,0.7394801695041289,11.8488354882542,7.976379417808934,0.9487179487179487,0.7474747474747475,0.00015279666695278138,0.007058796007186174,1
C3-noshock_1_sc_004_roi_0,147.3148148148148,155.0,51.835324747052304,41,234,2.8964136173311483,96.4537037037037,4.972562387242422,117.68928106731174,1.0,0.0,4.597222222222222,2.1223658328372754,0.7604628426046286,0.9480123682038868,0.9996667002416845,0.9996763833600457,108.0,37.79898987322333,0.3814893145099711,12.254608180121336,11.327831975021061,0.9310344827586207,0.75,0.0001543487305752933,0.0072171371430158615,1
C3-noshock_101_cg_001_roi_3,113.69767441860465,112.0,48.41593123851329,32,205,3.7421503485114975,83.31469569520038,5.173495875381103,91.72072166608521,1.1584749623458972,18.018234672304445,4.6875,2.1503336157654487,0.5697307785593015,0.9665972814724575,0.9993849839179607,0.999401725561355,129.0,43.45584412271571,0.8045687780866883,16.723153280248653,9.931203101707219,0.9485294117647058,0.7329545454545454,0.0003686267009470612,0.01072885375469923,1
C3-noshock_101_bla_005_roi_3,55.40350877192982,50.0,15.719983537693722,33,90,1.8066361556064072,24.736842105263154,2.6348769899767146,34.376527632890216,3.0085223120767774,111.2791835357625,4.291666666666667,2.143708494901093,0.18273828105745693,0.9117280010908682,0.9996385330868418,0.999651119806103,57.0,26.72792206135785,0.49337845712919365,9.157748199645805,7.965544454116826,0.9193548387096774,0.7916666666666666,0.00020706291252281517,0.00806201621890068,1
C3-noshock_1_sc_004_roi_4,88.23376623376623,87.0,34.245066420247625,31,151,2.248428019856591,48.99134199134199,2.9783013189155736,58.60823248626316,1.6695968120018752,59.08104858104858,4.7727272727272725,2.274998864771309,0.25894077258940773,0.9324074087914243,0.9997528027251623,0.9997690196814351,77.0,33.21320343559643,0.48981197460343673,10.676272757981865,9.30787455439743,0.9058823529411765,0.7,0.00026782488566823304,0.009638411924242973,1
C3-noshock_102_bla_001_roi_4,88.69,94.0,32.64496745288621,29,157,2.791387696709585,56.917272727272724,4.307062149823286,68.09823770011332,1.6588798108035638,58.43605042016807,4.951388888888889,2.456086151196404,0.4145664896316091,0.9313749027097276,0.9996211227968735,0.9996420859848338,100.0,37.21320343559643,0.6919502986126133,13.376344793446032,9.656987106072433,0.9259259259259259,0.6944444444444444,0.00032779225148260593,0.010372191667556763,1
C3-noshock_6_pl_001_roi_2,18.542479314420802,19.0,4.908572902874574,0,30,2.087976662296124,9.66188229949543,0.9582677023038302,-0.8075199288404384,6.21616753295201,96.72067858031603,6.925090122566691,2.3924172545616003,0.5581763168752576,0.9829601198259026,0.9550186516226122,0.9783840411328242,13536.0,539.1269837220809,0.7996797015208886,183.56528641965085,110.21752253255157,0.9033033033033033,0.4879596250901226,0.010220118798315525,0.04684392735362053,0
C3-noshock_101_dgca1_005_roi_3,42.14545454545455,36.0,17.019153041439335,27,120,1.3268013468013469,10.380748663101606,1.5177769823301528,14.377570965647497,3.2655985911331213,95.48468244084683,4.791666666666667,2.460451065240771,0.1795746188509616,0.857219891649408,0.9996457010986676,0.9996768575551719,55.0,25.899494936611667,0.47555770893732296,8.953700874644841,7.876432110806554,0.9166666666666666,0.7638888888888888,0.0004158530500717461,0.012313841842114925,0
